name,count,type,is_ambiguous
adamusuki_(user_aahn7557),5,general,False
adapted_costume,38820,general,False
adapted_turret,1007,general,False
adashinosekka,6,artist,False
ade_(nikke),18,character,False
adeleine,582,character,False
adeptus_astartes,339,character,False
adesu_(gekkahyouzin),5,general,False
adju_ster,34,artist,False
adjusting_another's_clothes,251,general,False
adjusting_bra,420,general,False
adjusting_buruma,661,general,False
adjusting_clothes,19466,general,False
adjusting_eyewear,15302,general,False
adjusting_footwear,336,general,False
adjusting_gloves,1986,general,False
adjusting_goggles,333,general,False
adjusting_hair,17543,general,False
adjusting_headphones,139,general,False
adjusting_headwear,5881,general,False
adjusting_legwear,1235,general,False
adjusting_leotard,508,general,False
adjusting_necktie,772,general,False
adjusting_panties,1033,general,False
adjusting_scarf,426,general,False
adjusting_swimsuit,3981,general,False
admi_(nikke),45,character,False
admiral_(kancolle),29127,character,False
admiral_graf_spee_(azur_lane),784,character,False
admiral_graf_spee_(peaceful_daily_life)_(azur_lane),122,character,False
admire_vega's_twin_sister_(umamusume),12,general,False
admire_vega_(umamusume),1107,character,False
adrian_andrews,37,character,False
adult_neptune,740,character,False
aduti_momoyama,327,artist,False
advarcher,299,artist,False
adventurer_(ff14),561,character,False
aegir_(golden_dragon_among_auspicious_clouds)_(azur_lane),91,character,False
aegis_(persona),2064,character,False
aeon_(skullgirls),88,character,False
aerial_fireworks,1663,general,False
aerith_gainsborough,6734,character,False
aerosol,39,general,False
aestheticc-meme,1229,artist,False
aestus_estus,999,general,False
aether_(genshin_impact),6281,character,False
aether_foundation_employee,965,character,False
aether_foundation_uniform,131,general,False
aether_gazer,102,copyright,False
aetherion,330,artist,False
afiqah,1,general,False
afloat,2684,general,False
afri,13,general,False
african,132,general,False
afro,2952,general,False
aftamc,69,artist,False
after-school_sweets_club_(blue_archive),13,general,False
after_anal,6828,general,False
after_ejaculation,1065,general,False
after_fellatio,6049,general,False
after_kiss,2797,general,False
after_oral,40,deprecated,False
after_paizuri,2579,general,False
after_rape,2920,general,False
after_sex,9722,general,True
after_vaginal,18258,general,False
afterglow,1012,general,False
afterimage,7323,general,False
afterschool_school_idol_(love_live!),65,general,False
aftersex,58952,general,False
against_fourth_wall,682,general,False
against_glass,6765,general,False
against_railing,2150,general,False
against_rock,224,general,False
against_tree,2775,general,False
against_wall,20294,general,False
against_window,534,general,False
age_difference,111869,general,False
age_progression,2103,general,False
aged_down,52127,general,False
aged_up,25702,general,False
agent_3_(splatoon),425,character,False
agent_3_(splatoon_3),129,character,False
agent_4_(splatoon),159,character,False
agent_8_(splatoon),557,character,True
agitation_(module),13,general,False
agnes_digital_(umamusume),973,character,False
agnes_tachyon_(lunatic_lab)_(umamusume),51,general,False
agnes_tachyon_(umamusume),2612,character,False
ago_(owenanaken),5,artist,False
agumon,1550,character,False
agumon_(artist),1,general,False
ahageao49,27,artist,False
aharen-san_wa_hakarenai,140,copyright,False
aharen_eru,2,character,False
ahegao,49674,general,True
ahegao_pattern,4,general,False
ahenn,439,artist,False
aheuretokki,2,general,False
ahgakhgal,1,general,False
ahiru_tokotoko,42,artist,False
ahodemoaru,8,general,False
ahoge,482391,general,False
ahri_(league_of_legends),4354,character,False
ahsoka_tano,420,character,False
ai-assisted,726,metadata,False
ai-chan_(tawawa),640,character,False
ai-generated,315,metadata,False
ai_(aria),95,character,False
ai_art,5,general,False
ai_dongdong,97,artist,False
ai_translated,13,general,False
aiba_ami,483,character,False
aiba_yumi,654,character,False
aida_mana,2173,character,False
aida_rikako,67,character,False
aidaosamuaya,5,artist,False
aiguillette,4647,general,False
aika_granzchesta,465,character,False
aika_himena,86,character,False
aikatsu!,5231,copyright,False
aikatsu!_(series),6851,copyright,False
aikawa_megumi,30,general,False
aikawa_ruru,105,artist,False
aile_(mega_man_zx),1076,character,False
aiming,6022,general,False
aiming_at_viewer,3129,general,False
aimo,32,artist,False
aina2955,1,general,False
aino_megumi,945,character,False
aino_minako,3289,character,False
ainu_clothes,4507,general,False
ainz_ooal_gown,512,character,False
air_(ai_r_),57,artist,False
air_(visual_novel),1537,copyright,False
air_bubble,6858,general,False
air_conditioner,1956,general,False
air_groove_(umamusume),770,character,False
air_shakur_(umamusume),568,character,False
airani_iofifteen_(3rd_costume),1,character,False
airani_iofifteen_(4th_costume),1,character,False
airani_iofifteen_(5th_costume),2,character,False
aircell,119,artist,False
aircraft,17214,general,False
airi_(blue_archive),178,character,False
airi_kanna,25,character,False
airo_airo_airo,5,general,False
airpods,143,general,False
airship,907,general,False
aisaka_taiga,3141,character,False
aisuu_(voisona),4,general,False
aiz_wallenstein,433,character,False
aizawa_kazuha,225,character,False
aizawa_marimo,65,artist,False
aji_aji_nori,81,artist,False
ajidot,102,artist,False
ajitarou_(setsu),751,artist,False
ak-47,803,general,False
aka_(r_cc_d),1,general,False
akagane_mic,31,artist,False
akagi:_yami_ni_oritatta_tensai,71,copyright,False
akagi_(azur_lane),2212,character,False
akagi_(paradise_amaryllis)_(azur_lane),141,character,False
akagi_shigeru,245,character,False
akahi242,261,artist,False
akairingo,5,artist,False
akairiot,1303,artist,False
akaisuto,42,artist,False
akali,1352,character,False
akamashi,25,artist,False
akamatsu_kaede,2424,character,False
akana93,1,artist,False
akanbe,1053,general,False
akane_(blue_archive),973,character,False
akane_(bunny)_(blue_archive),710,character,False
akane_canna,54,character,False
akane_canna_(2nd_costume),5,character,False
akanekai,24,general,False
akara_kai,162,artist,False
akari_(pokemon),2761,character,False
akari_botan,62,artist,False
akasaka_asa,91,artist,False
akasegawa_maki,84,character,False
akashi_(kancolle),4501,character,False
akashi_tagiru,120,character,False
akashieru,163,artist,False
